invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_amount
I109053,C232624,MALE,51,Clothing,4,1200.32,Debit Card,11-07-2021,Metrocity,4801.28
I838035,C724409,MALE,24,Clothing,4,1200.32,Cash,30-12-2022,Istinye Park,4801.28
I374439,C306387,MALE,56,Clothing,5,1500.4,Cash,24-01-2022,Kanyon,7502
I339732,C276887,MALE,68,Food & Beverage,1,5.23,Credit Card,04-01-2023,Emaar Square Mall,5.23
I147062,C245456,MALE,43,Clothing,5,1500.4,Credit Card,21-06-2022,Kanyon,7502
I314069,C140560,MALE,32,Shoes,2,1200.34,Cash,13-07-2021,Metrocity,2400.68
I126999,C375323,MALE,20,Books,3,45.45,Cash,05-04-2021,Kanyon,136.35
I106674,C204279,MALE,54,Clothing,2,600.16,Cash,27-02-2022,Kanyon,1200.32
I214817,C251726,MALE,37,Books,5,75.75,Cash,12-03-2022,Kanyon,378.75
I126478,C514432,MALE,64,Books,5,75.75,Cash,25-06-2021,Kanyon,378.75
I203615,C139306,MALE,23,Books,1,15.15,Cash,01-06-2021,Viaport Outlet,15.15
I473411,C452806,MALE,24,Clothing,1,300.08,Cash,19-12-2022,Metropol AVM,300.08
I138674,C155059,MALE,67,Cosmetics,2,81.32,Credit Card,14-02-2022,Metropol AVM,162.64
I117291,C134449,MALE,46,Books,5,75.75,Credit Card,09-12-2022,Zorlu Center,378.75
I237445,C328218,MALE,60,Shoes,2,1200.34,Cash,05-11-2021,Mall of Istanbul,2400.68
I269690,C126436,MALE,18,Cosmetics,3,121.98,Debit Card,07-02-2022,Zorlu Center,365.94
I258195,C213742,MALE,43,Toys,2,71.68,Cash,26-11-2021,Kanyon,143.36
I335936,C110717,MALE,54,Toys,3,107.52,Debit Card,10-10-2021,Kanyon,322.56
I133061,C336576,MALE,64,Clothing,5,1500.4,Credit Card,09-06-2022,Mall of Istanbul,7502
I157285,C123427,MALE,66,Clothing,4,1200.32,Cash,06-03-2022,Mall of Istanbul,4801.28
I355189,C124141,MALE,50,Clothing,5,1500.4,Cash,09-10-2021,Kanyon,7502
I718831,C758865,MALE,35,Clothing,4,1200.32,Cash,06-02-2023,Kanyon,4801.28
I211519,C106844,MALE,32,Clothing,5,1500.4,Cash,10-03-2022,Kanyon,7502
I232704,C242808,FEMALE,26,Cosmetics,5,203.3,Cash,01-05-2022,Kanyon,1016.5
I240013,C293944,FEMALE,37,Clothing,3,900.24,Cash,15-04-2021,Metrocity,2700.72
I181109,C119549,MALE,22,Toys,3,107.52,Cash,17-10-2022,Mall of Istanbul,322.56
I402376,C309926,MALE,34,Shoes,5,3000.85,Cash,10-09-2022,Forum Istanbul,15004.25
I283894,C278220,FEMALE,40,Shoes,5,3000.85,Cash,21-02-2022,Kanyon,15004.25
I897968,C860597,FEMALE,62,Clothing,5,1500.4,Cash,22-12-2022,Kanyon,7502
I292239,C109871,MALE,38,Food & Beverage,5,26.15,Cash,21-08-2022,Mall of Istanbul,130.75
I260525,C258404,MALE,67,Toys,3,107.52,Cash,07-01-2023,Emaar Square Mall,322.56
I870944,C169749,MALE,41,Souvenir,3,35.19,Credit Card,08-06-2021,Cevahir AVM,105.57
I167025,C103722,FEMALE,66,Shoes,3,1800.51,Cash,16-06-2022,Kanyon,5401.53
I283100,C449944,FEMALE,30,Toys,3,107.52,Cash,20-07-2021,Mall of Istanbul,322.56
I336945,C339860,FEMALE,31,Shoes,5,3000.85,Cash,16-05-2022,Kanyon,15004.25
I301653,C231455,FEMALE,56,Toys,4,143.36,Cash,21-01-2022,Kanyon,573.44
I313214,C391380,FEMALE,48,Shoes,3,1800.51,Credit Card,20-10-2021,Kanyon,5401.53
I306076,C679476,MALE,40,Toys,2,71.68,Cash,01-11-2022,Emaar Square Mall,143.36
I296543,C123025,FEMALE,49,Toys,2,71.68,Cash,11-05-2021,Cevahir AVM,143.36
I920319,C307627,FEMALE,39,Clothing,5,1500.4,Cash,13-09-2021,Kanyon,7502
I321683,C542025,MALE,60,Cosmetics,4,162.64,Credit Card,06-01-2023,Metrocity,650.56
I950500,C198241,FEMALE,44,Clothing,5,1500.4,Cash,08-03-2022,Kanyon,7502
I146747,C160769,FEMALE,47,Books,3,45.45,Cash,11-08-2022,Kanyon,136.35
I134844,C215607,FEMALE,23,Shoes,2,1200.34,Cash,02-11-2021,Kanyon,2400.68
I954471,C208665,FEMALE,38,Toys,1,35.84,Cash,11-01-2021,Kanyon,35.84
I188799,C286428,FEMALE,55,Clothing,2,600.16,Cash,02-02-2021,Cevahir AVM,1200.32
I151332,C168491,MALE,30,Souvenir,2,23.46,Cash,25-03-2021,Kanyon,46.92
I108445,C337052,FEMALE,22,Shoes,4,2400.68,Cash,12-06-2022,Kanyon,9602.72
I240452,C121289,FEMALE,51,Technology,1,1050,Debit Card,01-02-2023,Metrocity,1050
I249424,C158160,MALE,22,Food & Beverage,1,5.23,Cash,18-02-2022,Mall of Istanbul,5.23
I124162,C158520,FEMALE,20,Clothing,5,1500.4,Cash,11-09-2021,Kanyon,7502
I227716,C552345,MALE,53,Food & Beverage,2,10.46,Cash,22-04-2021,Kanyon,20.92
I884592,C238774,FEMALE,57,Shoes,3,1800.51,Cash,23-06-2021,Zorlu Center,5401.53
I190296,C484300,FEMALE,29,Toys,5,179.2,Cash,04-04-2022,Metrocity,896
I580252,C288758,FEMALE,21,Toys,1,35.84,Cash,02-11-2022,Kanyon,35.84
I267174,C949975,FEMALE,35,Clothing,3,900.24,Cash,20-07-2021,Kanyon,2700.72
I240927,C660688,FEMALE,57,Shoes,4,2400.68,Cash,07-06-2021,Kanyon,9602.72
I253242,C309438,MALE,26,Shoes,5,3000.85,Cash,07-04-2022,Mall of Istanbul,15004.25
I108359,C253905,MALE,66,Food & Beverage,1,5.23,Cash,07-06-2022,Mall of Istanbul,5.23
I393793,C656529,FEMALE,44,Shoes,2,1200.34,Cash,07-08-2021,Kanyon,2400.68
I306627,C122467,FEMALE,42,Shoes,4,2400.68,Cash,27-03-2022,Metropol AVM,9602.72
I306321,C148278,FEMALE,69,Shoes,5,3000.85,Cash,16-08-2021,Kanyon,15004.25
I195567,C992677,MALE,65,Clothing,4,1200.32,Debit Card,22-01-2023,Metropol AVM,4801.28
I199152,C278522,FEMALE,24,Shoes,1,600.17,Cash,15-01-2022,Kanyon,600.17
I178560,C326754,FEMALE,66,Toys,5,179.2,Cash,13-09-2022,Kanyon,896
I306395,C169646,FEMALE,28,Food & Beverage,4,20.92,Cash,31-10-2022,Kanyon,83.68
I297270,C183011,MALE,62,Clothing,5,1500.4,Credit Card,31-12-2022,Metropol AVM,7502
I153930,C567813,MALE,39,Food & Beverage,3,15.69,Cash,09-08-2022,Forum Istanbul,47.07
I283443,C189493,MALE,43,Technology,3,3150,Credit Card,25-05-2022,Viaport Outlet,9450
I985478,C324683,MALE,55,Clothing,4,1200.32,Credit Card,24-01-2023,Kanyon,4801.28
I256691,C152549,MALE,24,Cosmetics,1,40.66,Cash,04-02-2022,Metrocity,40.66
I224371,C204174,MALE,34,Clothing,5,1500.4,Credit Card,01-02-2022,Mall of Istanbul,7502
I293215,C166635,MALE,18,Cosmetics,4,162.64,Credit Card,12-12-2021,Istinye Park,650.56
I157775,C331761,MALE,48,Clothing,1,300.08,Cash,19-03-2022,Kanyon,300.08
I147334,C306395,MALE,35,Clothing,2,600.16,Cash,12-01-2022,Viaport Outlet,1200.32
I320846,C274870,MALE,27,Clothing,4,1200.32,Credit Card,11-11-2021,Kanyon,4801.28
I142331,C997380,MALE,35,Cosmetics,4,162.64,Debit Card,30-05-2021,Metrocity,650.56
I276763,C765620,MALE,64,Toys,5,179.2,Debit Card,21-02-2022,Kanyon,896
I774221,C519513,MALE,30,Food & Beverage,5,26.15,Cash,15-12-2021,Metrocity,130.75
I202171,C125624,MALE,40,Clothing,1,300.08,Debit Card,20-02-2021,Mall of Istanbul,300.08
I160221,C319231,MALE,25,Clothing,3,900.24,Cash,01-08-2022,Mall of Istanbul,2700.72
I745394,C249877,MALE,54,Food & Beverage,1,5.23,Cash,14-12-2021,Metropol AVM,5.23
I304531,C263874,MALE,54,Clothing,1,300.08,Debit Card,07-04-2021,Metropol AVM,300.08
I151588,C310642,MALE,24,Books,3,45.45,Credit Card,12-04-2022,Metrocity,136.35
I657069,C651699,MALE,40,Clothing,4,1200.32,Cash,16-12-2021,Mall of Istanbul,4801.28
I103596,C178734,MALE,52,Shoes,5,3000.85,Cash,03-08-2021,Kanyon,15004.25
I259878,C223010,MALE,44,Clothing,4,1200.32,Credit Card,12-10-2022,Metropol AVM,4801.28
I168037,C816586,MALE,27,Toys,4,143.36,Cash,03-07-2021,Mall of Istanbul,573.44
I141241,C143442,MALE,54,Souvenir,5,58.65,Credit Card,11-04-2022,Kanyon,293.25
I289973,C102926,MALE,41,Food & Beverage,5,26.15,Credit Card,22-10-2021,Kanyon,130.75
I134126,C847171,MALE,22,Clothing,1,300.08,Debit Card,30-08-2022,Istinye Park,300.08
I222086,C978718,MALE,37,Clothing,5,1500.4,Cash,09-02-2023,Emaar Square Mall,7502
I184307,C175946,MALE,22,Food & Beverage,1,5.23,Credit Card,25-08-2022,Kanyon,5.23
I260028,C208108,MALE,38,Clothing,4,1200.32,Cash,16-04-2021,Metropol AVM,4801.28
I170160,C244213,MALE,34,Toys,2,71.68,Debit Card,26-02-2023,Metrocity,143.36
I402966,C375422,MALE,23,Cosmetics,4,162.64,Debit Card,02-10-2021,Viaport Outlet,650.56
I417106,C292356,MALE,28,Clothing,3,900.24,Cash,03-04-2021,Cevahir AVM,2700.72
I258322,C220281,MALE,50,Clothing,4,1200.32,Cash,12-07-2021,Viaport Outlet,4801.28
I310819,C221934,MALE,26,Cosmetics,5,203.3,Credit Card,27-11-2022,Forum Istanbul,1016.5
I255381,C172966,MALE,40,Clothing,4,1200.32,Debit Card,24-05-2021,Metrocity,4801.28
I337719,C320928,MALE,40,Cosmetics,5,203.3,Cash,18-01-2021,Istinye Park,1016.5
I220863,C131497,MALE,21,Books,4,60.6,Cash,22-07-2021,Mall of Istanbul,242.4
I219555,C266961,MALE,47,Clothing,3,900.24,Credit Card,10-09-2021,Metrocity,2700.72
I795251,C181619,MALE,33,Cosmetics,5,203.3,Cash,13-11-2022,Kanyon,1016.5
I286193,C322994,MALE,37,Cosmetics,3,121.98,Cash,23-07-2022,Istinye Park,365.94
I229355,C192978,MALE,28,Shoes,5,3000.85,Credit Card,30-01-2021,Kanyon,15004.25
I246151,C287409,MALE,25,Books,3,45.45,Debit Card,05-07-2021,Metropol AVM,136.35
I164675,C993675,MALE,66,Books,5,75.75,Cash,31-08-2021,Kanyon,378.75
I737630,C848969,MALE,69,Clothing,5,1500.4,Cash,15-04-2022,Metropol AVM,7502
I127733,C665777,MALE,39,Books,5,75.75,Cash,24-08-2021,Kanyon,378.75
I202398,C256730,MALE,53,Shoes,5,3000.85,Cash,26-01-2021,Zorlu Center,15004.25
I160585,C298229,MALE,26,Cosmetics,2,81.32,Cash,05-02-2022,Metropol AVM,162.64
I771414,C183404,MALE,63,Food & Beverage,3,15.69,Cash,09-12-2022,Forum Istanbul,47.07
I291540,C557245,MALE,25,Food & Beverage,1,5.23,Debit Card,17-07-2022,Kanyon,5.23
I267713,C284679,MALE,53,Cosmetics,4,162.64,Credit Card,27-06-2021,Kanyon,650.56
I525798,C581947,MALE,46,Cosmetics,4,162.64,Cash,03-02-2023,Mall of Istanbul,650.56
I187171,C168663,MALE,33,Toys,4,143.36,Credit Card,27-05-2022,Istinye Park,573.44
I402983,C372643,MALE,27,Technology,1,1050,Debit Card,30-01-2022,Kanyon,1050
I762381,C243515,MALE,63,Shoes,1,600.17,Cash,27-10-2022,Kanyon,600.17
I818298,C204632,MALE,21,Clothing,5,1500.4,Debit Card,21-08-2022,Kanyon,7502
I215578,C866033,MALE,39,Cosmetics,2,81.32,Credit Card,04-08-2022,Kanyon,162.64
I136666,C288416,MALE,50,Food & Beverage,2,10.46,Credit Card,01-04-2021,Mall of Istanbul,20.92
I173679,C555040,MALE,27,Technology,3,3150,Credit Card,28-06-2021,Viaport Outlet,9450
I638275,C809281,MALE,56,Clothing,5,1500.4,Credit Card,25-01-2021,Emaar Square Mall,7502
I321920,C165705,MALE,27,Clothing,4,1200.32,Cash,08-06-2021,Mall of Istanbul,4801.28
I176115,C709571,MALE,39,Cosmetics,4,162.64,Cash,30-08-2021,Viaport Outlet,650.56
I251743,C851508,MALE,44,Toys,3,107.52,Debit Card,19-06-2022,Kanyon,322.56
I985808,C270667,MALE,22,Books,5,75.75,Cash,16-06-2021,Emaar Square Mall,378.75
I224565,C321527,MALE,61,Shoes,1,600.17,Cash,07-02-2021,Emaar Square Mall,600.17
I239703,C109489,MALE,23,Food & Beverage,3,15.69,Credit Card,17-01-2023,Kanyon,47.07
I156413,C103824,MALE,34,Cosmetics,5,203.3,Debit Card,20-01-2022,Metrocity,1016.5
I319942,C212128,MALE,53,Cosmetics,5,203.3,Debit Card,14-11-2022,Mall of Istanbul,1016.5
I133278,C301271,MALE,22,Clothing,3,900.24,Credit Card,24-02-2021,Metrocity,2700.72
I252084,C221995,MALE,50,Souvenir,4,46.92,Cash,25-05-2021,Metrocity,187.68
I182889,C318802,MALE,49,Clothing,2,600.16,Credit Card,22-03-2021,Metrocity,1200.32
I106271,C263812,MALE,31,Clothing,1,300.08,Debit Card,22-12-2022,Mall of Istanbul,300.08
I112481,C321609,MALE,29,Food & Beverage,5,26.15,Cash,07-07-2021,Cevahir AVM,130.75
I263818,C336232,MALE,69,Souvenir,4,46.92,Cash,26-06-2022,Zorlu Center,187.68
I174966,C325906,MALE,27,Food & Beverage,5,26.15,Cash,25-07-2022,Mall of Istanbul,130.75
I159487,C104985,MALE,36,Clothing,1,300.08,Cash,09-07-2021,Emaar Square Mall,300.08
I235828,C267333,MALE,21,Books,5,75.75,Cash,14-12-2021,Metrocity,378.75
I281274,C130479,MALE,20,Clothing,1,300.08,Cash,04-09-2022,Kanyon,300.08
I142738,C208738,MALE,24,Clothing,4,1200.32,Credit Card,03-01-2021,Kanyon,4801.28
I133240,C999586,MALE,58,Toys,3,107.52,Credit Card,14-06-2022,Zorlu Center,322.56
I215906,C296862,MALE,21,Clothing,4,1200.32,Debit Card,13-08-2021,Mall of Istanbul,4801.28
I247747,C101550,MALE,35,Shoes,2,1200.34,Cash,11-01-2022,Istinye Park,2400.68
I133197,C330779,MALE,68,Cosmetics,2,81.32,Credit Card,04-02-2021,Forum Istanbul,162.64
I334469,C221607,MALE,46,Toys,5,179.2,Cash,04-07-2021,Kanyon,896
I115679,C266462,MALE,27,Clothing,1,300.08,Cash,10-01-2023,Kanyon,300.08
I130799,C103944,MALE,42,Clothing,3,900.24,Credit Card,30-06-2021,Metrocity,2700.72
I199384,C260889,MALE,58,Books,4,60.6,Credit Card,24-03-2022,Kanyon,242.4
I299125,C290344,MALE,27,Souvenir,4,46.92,Credit Card,21-11-2022,Kanyon,187.68
I293086,C312155,MALE,55,Cosmetics,3,121.98,Credit Card,18-02-2021,Kanyon,365.94
I305432,C986860,MALE,39,Toys,3,107.52,Credit Card,26-01-2023,Mall of Istanbul,322.56
I224122,C236428,MALE,44,Clothing,5,1500.4,Credit Card,01-07-2022,Mall of Istanbul,7502
I117526,C154184,MALE,48,Cosmetics,5,203.3,Credit Card,23-09-2022,Emaar Square Mall,1016.5
I320007,C294024,MALE,45,Clothing,5,1500.4,Debit Card,18-10-2021,Metrocity,7502
I339004,C790567,MALE,64,Clothing,4,1200.32,Credit Card,15-07-2022,Mall of Istanbul,4801.28
I139437,C799447,MALE,38,Souvenir,5,58.65,Credit Card,31-05-2021,Mall of Istanbul,293.25
I420592,C334281,MALE,57,Food & Beverage,4,20.92,Debit Card,25-09-2022,Kanyon,83.68
I122118,C276111,MALE,38,Cosmetics,5,203.3,Cash,15-11-2022,Metrocity,1016.5
I297539,C277924,MALE,65,Food & Beverage,3,15.69,Credit Card,07-08-2021,Mall of Istanbul,47.07
I339496,C286466,MALE,30,Clothing,1,300.08,Debit Card,25-05-2021,Metropol AVM,300.08
I615452,C453635,MALE,26,Shoes,1,600.17,Debit Card,06-03-2022,Metrocity,600.17
I123315,C230018,MALE,46,Clothing,2,600.16,Debit Card,01-04-2021,Zorlu Center,1200.32
I182578,C238063,MALE,54,Shoes,4,2400.68,Cash,13-02-2022,Kanyon,9602.72
I403818,C308584,MALE,62,Books,5,75.75,Cash,15-06-2022,Viaport Outlet,378.75
I959992,C241523,MALE,55,Food & Beverage,3,15.69,Cash,01-07-2022,Metrocity,47.07
I300847,C329153,MALE,41,Toys,5,179.2,Credit Card,11-01-2022,Istinye Park,896
I170966,C126702,MALE,54,Food & Beverage,5,26.15,Credit Card,05-12-2022,Istinye Park,130.75
I230221,C287787,MALE,34,Clothing,1,300.08,Cash,21-04-2021,Metropol AVM,300.08
I155404,C100484,MALE,48,Toys,4,143.36,Cash,19-09-2022,Metrocity,573.44
I959386,C885556,MALE,25,Shoes,1,600.17,Credit Card,25-11-2022,Mall of Istanbul,600.17
I737965,C944366,MALE,64,Clothing,5,1500.4,Cash,09-11-2022,Kanyon,7502
I125700,C244973,MALE,49,Shoes,5,3000.85,Credit Card,10-06-2022,Forum Istanbul,15004.25
I585560,C306892,MALE,21,Shoes,2,1200.34,Cash,17-02-2023,Mall of Istanbul,2400.68
I191967,C266819,MALE,63,Cosmetics,5,203.3,Credit Card,08-08-2022,Kanyon,1016.5
I304567,C317897,MALE,30,Souvenir,2,23.46,Credit Card,08-03-2023,Forum Istanbul,46.92
I255066,C829423,FEMALE,25,Shoes,2,1200.34,Cash,07-06-2022,Kanyon,2400.68
I232809,C545424,MALE,66,Shoes,5,3000.85,Credit Card,02-10-2021,Metrocity,15004.25
I162719,C402433,MALE,53,Clothing,5,1500.4,Credit Card,11-12-2021,Emaar Square Mall,7502
I278519,C129976,MALE,69,Technology,3,3150,Debit Card,24-09-2022,Cevahir AVM,9450
I306136,C324783,MALE,26,Food & Beverage,1,5.23,Cash,18-10-2022,Metrocity,5.23
I240224,C281502,MALE,53,Food & Beverage,1,5.23,Cash,16-10-2021,Mall of Istanbul,5.23
I434983,C107399,MALE,45,Souvenir,2,23.46,Credit Card,29-07-2021,Istinye Park,46.92
I735039,C285422,MALE,50,Clothing,1,300.08,Cash,01-08-2022,Metropol AVM,300.08
I319997,C217049,MALE,31,Clothing,5,1500.4,Credit Card,03-04-2021,Istinye Park,7502
I228150,C141094,MALE,62,Clothing,5,1500.4,Cash,21-11-2021,Zorlu Center,7502
I177957,C653357,MALE,65,Clothing,4,1200.32,Cash,04-07-2021,Cevahir AVM,4801.28
I638444,C229733,MALE,57,Shoes,2,1200.34,Credit Card,21-02-2022,Metropol AVM,2400.68
I177317,C331880,MALE,53,Food & Beverage,4,20.92,Cash,16-04-2021,Mall of Istanbul,83.68
I323436,C153958,MALE,39,Food & Beverage,5,26.15,Debit Card,06-05-2022,Kanyon,130.75
I241028,C803666,MALE,50,Clothing,2,600.16,Debit Card,16-12-2021,Emaar Square Mall,1200.32
I131492,C729802,MALE,61,Food & Beverage,3,15.69,Cash,08-12-2021,Kanyon,47.07
I252340,C252250,MALE,44,Food & Beverage,5,26.15,Credit Card,23-02-2021,Mall of Istanbul,130.75
I269945,C310975,MALE,64,Food & Beverage,1,5.23,Credit Card,14-02-2022,Kanyon,5.23
I293115,C109758,MALE,50,Clothing,2,600.16,Credit Card,20-05-2022,Viaport Outlet,1200.32
I180632,C214463,MALE,45,Clothing,1,300.08,Credit Card,15-10-2021,Istinye Park,300.08
I721903,C284031,MALE,29,Food & Beverage,2,10.46,Cash,09-01-2023,Mall of Istanbul,20.92
I995914,C259260,MALE,65,Technology,3,3150,Credit Card,22-11-2021,Metrocity,9450
I318626,C270238,MALE,54,Cosmetics,3,121.98,Credit Card,23-09-2022,Istinye Park,365.94
I568785,C115148,MALE,37,Food & Beverage,5,26.15,Cash,23-08-2021,Metropol AVM,130.75
I194798,C258089,MALE,41,Technology,2,2100,Cash,07-07-2022,Mall of Istanbul,4200
I236520,C222102,MALE,42,Toys,3,107.52,Credit Card,13-02-2022,Viaport Outlet,322.56
I295482,C209440,MALE,24,Shoes,3,1800.51,Credit Card,17-10-2022,Zorlu Center,5401.53
I301404,C232103,MALE,40,Clothing,3,900.24,Credit Card,24-03-2021,Cevahir AVM,2700.72
I207389,C947114,MALE,25,Clothing,3,900.24,Debit Card,17-12-2022,Kanyon,2700.72
I237018,C115431,MALE,30,Food & Beverage,4,20.92,Cash,19-11-2022,Mall of Istanbul,83.68
I216889,C122371,MALE,57,Clothing,2,600.16,Credit Card,16-03-2022,Mall of Istanbul,1200.32
I284262,C127339,MALE,29,Food & Beverage,3,15.69,Cash,23-07-2021,Kanyon,47.07
I508173,C246364,MALE,31,Cosmetics,3,121.98,Debit Card,23-01-2022,Metropol AVM,365.94
I763131,C195413,MALE,26,Clothing,5,1500.4,Cash,16-01-2021,Mall of Istanbul,7502
I702817,C264767,MALE,30,Books,5,75.75,Credit Card,16-10-2022,Kanyon,378.75
I208491,C299172,MALE,56,Clothing,1,300.08,Cash,18-01-2023,Kanyon,300.08
I337030,C994327,MALE,65,Food & Beverage,2,10.46,Cash,27-09-2022,Metrocity,20.92
I197620,C249092,MALE,26,Food & Beverage,2,10.46,Cash,08-04-2022,Metrocity,20.92
I730771,C432132,MALE,23,Clothing,5,1500.4,Debit Card,05-08-2022,Metrocity,7502
I637675,C194330,MALE,56,Clothing,4,1200.32,Cash,28-06-2021,Kanyon,4801.28
I842493,C202057,MALE,48,Clothing,3,900.24,Debit Card,25-07-2021,Mall of Istanbul,2700.72
I156991,C315209,MALE,56,Food & Beverage,2,10.46,Debit Card,14-02-2021,Emaar Square Mall,20.92
I943403,C232330,MALE,64,Toys,1,35.84,Cash,20-09-2022,Mall of Istanbul,35.84
I454983,C737782,MALE,28,Souvenir,5,58.65,Debit Card,12-04-2022,Mall of Istanbul,293.25
I338302,C123201,MALE,49,Cosmetics,4,162.64,Debit Card,03-10-2021,Viaport Outlet,650.56
I328822,C230641,MALE,51,Food & Beverage,3,15.69,Cash,13-06-2022,Metrocity,47.07
I168181,C805154,MALE,22,Clothing,3,900.24,Credit Card,01-07-2021,Metrocity,2700.72
I130124,C216257,MALE,49,Clothing,3,900.24,Credit Card,15-08-2022,Viaport Outlet,2700.72
I154490,C100507,MALE,33,Clothing,5,1500.4,Cash,24-01-2022,Mall of Istanbul,7502
I214545,C111827,MALE,40,Souvenir,4,46.92,Cash,05-12-2021,Metropol AVM,187.68
I213589,C203955,MALE,68,Technology,2,2100,Cash,12-10-2021,Viaport Outlet,4200
I186663,C281091,MALE,38,Toys,1,35.84,Debit Card,24-06-2021,Kanyon,35.84
I103389,C231964,MALE,19,Cosmetics,1,40.66,Cash,09-05-2021,Kanyon,40.66
I115322,C315386,MALE,55,Food & Beverage,1,5.23,Credit Card,01-10-2021,Forum Istanbul,5.23
I268628,C633946,MALE,27,Cosmetics,3,121.98,Cash,21-05-2021,Mall of Istanbul,365.94
I214007,C119440,MALE,38,Toys,4,143.36,Credit Card,25-03-2022,Metrocity,573.44
I480974,C230305,MALE,34,Food & Beverage,2,10.46,Debit Card,10-05-2021,Mall of Istanbul,20.92
I126095,C197131,MALE,23,Food & Beverage,5,26.15,Credit Card,24-03-2022,Metropol AVM,130.75
I100033,C278721,MALE,56,Food & Beverage,4,20.92,Credit Card,19-10-2021,Zorlu Center,83.68
I265860,C247868,MALE,60,Food & Beverage,4,20.92,Credit Card,15-03-2022,Mall of Istanbul,83.68
I118757,C242041,MALE,43,Clothing,1,300.08,Credit Card,21-07-2022,Kanyon,300.08
I313516,C892871,MALE,55,Books,4,60.6,Cash,29-03-2021,Metrocity,242.4
I223795,C280596,MALE,40,Clothing,3,900.24,Cash,26-12-2022,Metrocity,2700.72
I273435,C282097,MALE,59,Food & Beverage,4,20.92,Credit Card,06-11-2021,Emaar Square Mall,83.68
I127616,C179726,MALE,24,Books,5,75.75,Debit Card,12-12-2021,Kanyon,378.75
I295712,C181939,MALE,31,Food & Beverage,2,10.46,Cash,25-06-2022,Mall of Istanbul,20.92
